{Transaction #1: 00000000000000000000000000000000, Gap: 0}
{Transaction #59: 00011111011010111010010011110110, Gap: 0}
{Transaction #60: 11110001111110001011100100100111, Gap: 0}
{Transaction #61: 10010011111011001010110000101000, Gap: 0}
{Transaction #62: 01011110100000000010011111010000, Gap: 0}
{Transaction #63: 10101100111001111010000111010110, Gap: 0}
{Transaction #64: 01101101010011110011101001100110, Gap: 0}
{Transaction #65: 01010001011101111110111000001101, Gap: 0}
{Transaction #66: 00100100101010110111100101101100, Gap: 0}
{Transaction #67: 10001010000110011101001010010010, Gap: 0}
{Transaction #68: 10101111111010001100001010011111, Gap: 0}
{Transaction #69: 11000001100000001111110101110011, Gap: 0}
{Transaction #70: 10111010000000000000001011111001, Gap: 0}
{Transaction #71: 11110000011100001001010100100100, Gap: 0}
{Transaction #72: 11101100101111011110110010110011, Gap: 0}
{Transaction #73: 00010001110000010100101000101101, Gap: 0}
{Transaction #74: 10011000000110000010011111100101, Gap: 0}
{Transaction #75: 00111100001100011001110101111111, Gap: 0}
{Transaction #76: 01011011000101011111001110000001, Gap: 0}
{Transaction #77: 00010001101100010010111010010111, Gap: 0}
{Transaction #78: 10000010111111011100101000010011, Gap: 0}
{Transaction #79: 00101100010101100101011011110010, Gap: 0}
{Transaction #80: 10101010110111010100100000011100, Gap: 0}
{Transaction #81: 00011011000011010010110000011000, Gap: 0}
{Transaction #82: 11101001110010001011111010001000, Gap: 0}
{Transaction #83: 10011000100100001101101111101000, Gap: 0}
{Transaction #84: 00011111110101011000010101001101, Gap: 0}
{Transaction #85: 11010010101100100100101000000101, Gap: 0}
{Transaction #86: 00001110010100000101000011010000, Gap: 0}
{Transaction #87: 00100101011110000010110001010010, Gap: 0}
{Transaction #88: 10000101110111100100101101011110, Gap: 0}
{Transaction #89: 01101010000101001001010100011010, Gap: 0}
{Transaction #90: 01000000010100000101010111111010, Gap: 0}
{Transaction #91: 01011010101100010000001001101010, Gap: 0}
{Transaction #92: 00111100011001101000101100000101, Gap: 0}
{Transaction #93: 01001100111110001001101100100101, Gap: 0}
{Transaction #94: 01010011011100110100101110110101, Gap: 0}
{Transaction #95: 11110001011001101001001111110100, Gap: 0}
{Transaction #96: 00101001100101111000101000010101, Gap: 0}
{Transaction #97: 11011110000011101110100010100011, Gap: 0}
{Transaction #98: 00001011101011001100100101011000, Gap: 0}
{Transaction #99: 11010100110101010001100101001010, Gap: 0}
{Transaction #100: 10111011111011110100100100011010, Gap: 1}
